vOTU_ID	alternative_ID	degrees_of_freedom	r	p.value	p.adj
V35_VIR_S449_L004_23157	vOTU  E	350	-0.653137924386954	3.50333586682583e-44	4.41420319220055e-42
V35_VIR_S449_L004_10162	vOTU  B	293	-0.511630396683068	4.42158521265253e-21	5.52698151581567e-19
V34_VIR_S441_L004_86449	vOTU  C	370	-0.441329515930791	3.65678284095084e-19	4.53441072277904e-17
V18_VIR_S478_L004_60094	vOTU  D	116	-0.679422022864874	2.72814162161339e-17	3.35561419458447e-15
V17_VIR_S462_L004_101191	vOTU  A	287	-0.436813528703908	6.78765613412765e-15	8.28094048363573e-13
V38_VIR_S457_L004_35080	NA	419	-0.359539071019441	2.71583986082522e-14	3.28616623159851e-12
V30_VIR_S468_L004_2448	NA	368	-0.36783051668993	2.68645479495437e-13	3.22374575394524e-11
V36_VIR_S453_L004_11627	NA	282	-0.405661399472306	1.1240543535888e-12	1.33762468077067e-10
V21_VIR_S477_L004_23265	NA	238	-0.4260149064911	5.3197994898734e-12	6.27736339805061e-10
V21_VIR_S477_L004_44604	NA	280	-0.395141120848371	5.6411602817262e-12	6.60015752961965e-10
V24_VIR_S461_L004_23188	NA	254	-0.406230583423689	1.36385522729436e-11	1.58207206366146e-09
V43_VIR_S474_L004_483	NA	306	-0.34674800723149	3.95461816245144e-10	4.54781088681916e-08
V15_VIR_S452_L004_89012	NA	170	-0.40710468669787	2.98776169830563e-08	3.40604833606842e-06
V02_VIR_S451_L004_67832	NA	274	-0.323166348109304	3.96153712441384e-08	4.47653695058764e-06
V43_VIR_S474_L004_92062	NA	337	-0.290226169974222	5.28465370016975e-08	5.91881214419012e-06
V01_VIR_S446_L004_70401	NA	210	-0.35450697822061	1.13001973490296e-07	1.25432190574228e-05
V35_VIR_S449_L004_80702	NA	295	-0.299251580428322	1.46898592037912e-07	1.61588451241704e-05
V04_VIR_S455_L004_78422	NA	408	-0.255855009756696	1.50022836487864e-07	1.63524891771772e-05
V03_VIR_S447_L004_13294	NA	212	-0.328012863072949	9.26002421072719e-07	0.000100008261475854
V04_VIR_S455_L004_71169	NA	340	-0.257129638559511	1.44267085477477e-06	0.0001543657814609
V39_VIR_S450_L004_21459	NA	260	-0.262089494701721	1.72843113464554e-05	0.00183213700272427
V18_VIR_S478_L004_11025	NA	242	-0.261263327935667	3.59460497561865e-05	0.00377433522439958
V28_VIR_S460_L004_63708	NA	296	-0.231584939658792	5.4375929715983e-05	0.00565509669046223
V16_VIR_S471_L004_41313	NA	243	-0.254547017134236	5.5657188613411e-05	0.00573269042718133
V05_VIR_S469_L004_16341	NA	335	-0.215005475226057	6.92225936615052e-05	0.00706070455347353
V26_VIR_S440_L004_96825_fragment_2	NA	346	-0.20036413620978	0.000168209916536519	0.0169892015701884
V09_VIR_S458_L004_123193	NA	363	-0.183313384990876	0.000431451807361741	0.0431451807361741
